,ACC_08,ACC_09,ACC_10,ACC_11,ACC_12,ACC_13,ACC_14,ACC_40,ACH_08,ACH_09,ACH_10,ACH_11,ACH_12,ACH_13,ACH_14,ADC_15,ADC_16,ADC_17,ADC_18,ADC_19,ADC_20,ADH_15,ADH_16,ADH_17,ADH_19,ADH_20,AHC_01,AHC_02,AHC_03,AHC_04,AHC_06,AHC_07,AHH_01,AHH_02,AHH_03,AHH_04,AHH_05,AHH_06,AHH_07,SCC_27,SCC_28,SCC_29,SCC_30,SCC_31,SCC_32,SCC_33,SCH_27,SCH_28,SCH_29,SCH_31,SCH_32,SCH_33,SCH_40,SDC_34,SDC_35,SDC_36,SDC_37,SDC_38,SDC_39,SDH_34,SDH_35,SDH_36,SDH_37,SDH_38,SDH_39,SHC_21,SHC_22,SHC_23,SHC_24,SHC_25,SHC_26,SHH_21,SHH_22,SHH_23,SHH_24,SHH_25,SHH_26
evm.TU.Ap1.1006,2.487888152982,2.70053198415943,2.41621145267867,3.44584613030384,1.72862740726832,3.25352608747471,2.83674148706839,3.29678051937864,2.34337847453583,2.00191525795027,0.958708702142576,2.83451053614262,3.20349274816622,2.52851282662327,1.84479796128983,3.0174616217311,1.97414922920605,2.56037676328124,3.13509651852347,2.6928413136754,2.32916911082919,0.958708702142576,0.958708702142576,0.958708702142576,0.958708702142576,2.1795211034691,2.65436236286403,3.60712302953652,3.03906880166669,3.21506795071641,2.17138217464146,3.0586083164923,2.72832907177462,2.48138427335875,2.24814471159532,2.41552085094875,2.36525606593327,2.67634047362778,2.80636327269253,3.01004104580724,3.14587308258182,0.958708702142576,2.40958225741838,2.25878904455217,2.78959882404412,2.65129846664633,0.958708702142576,2.29182434264438,2.57588788615328,3.14497908858263,0.958708702142576,2.279034806532,0.958708702142576,2.99950136630702,3.10914252377147,3.65617036491383,2.52508791259036,2.84024753564266,1.99720789685258,0.958708702142576,2.05506012054598,2.34956696821488,2.28990403029802,2.14701498508162,0.958708702142576,3.31270049583507,2.41436362036961,3.66934655067015,3.16169864892426,2.39164336544008,3.38661579254789,3.02390499358986,0.958708702142576,3.20216951956628,3.20748509729103,2.30056950361461,2.64718717863798
evm.TU.Ap1.1014,4.59065202618878,4.98727260062343,4.7227687823426,4.4393159331803,5.00490991666918,4.26583762092712,4.61791273247644,4.18793547633766,4.46407633314823,4.70205081761372,4.32523646800194,5.04581301618221,4.73794255671829,4.33576122600663,5.32572873220865,4.14601246231343,4.57250697682528,3.83077961927645,3.61314358906145,4.16264670805996,3.80849274940063,5.45453196882322,5.61274089761181,4.5862689271241,5.28025271640596,4.69447377667326,5.14445913743711,5.25635824479222,5.29972783414525,5.32476106839228,5.35483147724341,5.45288099859758,5.44352198436899,5.29996691708504,5.57784911473422,4.99079958158653,5.11911975605789,5.46110198014926,5.26474098936412,0.958708702142576,4.09962243996571,4.74481098826115,4.32789487937162,5.02092889503458,4.65411742834398,4.5045161801175,5.21108387020082,5.45530351251575,4.38278689379543,4.84115952241294,5.26215852781477,5.56756320964171,5.13899922345479,4.83952231678878,4.82557031602798,3.86596659171155,4.58080290857141,4.77187523789235,4.6299991612591,5.61694866802903,5.00128744644372,4.19466419860957,4.83858742931569,4.98479916272396,5.41453123784656,4.94332669370077,5.20110536696216,4.7672425205503,5.23980935596137,4.61681625238968,5.29367477886345,4.49591952036997,5.81756113217316,4.16944459422412,5.94057673080261,4.76703348374248,4.70568439810071
evm.TU.Ap1.1015,3.14583199700318,3.52931372670052,3.61007623686671,3.44584613030384,3.84737040002797,3.7114342596667,3.47491995403492,4.18793547633766,3.21353710022088,3.71715540283622,4.20118485820066,3.7044267101842,2.61805871452659,4.03056823950326,3.97741833829494,3.89308620441336,2.65467790758979,3.13087439435441,3.61314358906145,3.51916384821491,3.34031001279499,4.08874153956827,3.73028983531028,3.54602787484536,4.55173601556757,4.20555168602549,4.33967913533361,4.47631912842144,3.46942225171006,3.21506795071641,3.62251110338182,4.43775494615326,3.49503977663376,3.6185810147299,4.15166863226763,4.59772818379876,3.3954337103433,4.37390010965905,3.77002683340161,3.01004104580724,3.14587308258182,3.30265511460162,3.19756895731035,3.58651578458995,3.41691743082001,3.6526220602602,4.04504775106229,3.1376724570559,3.15044477646812,3.45250359401861,3.58600470827291,3.72210054098022,3.14616773384731,4.00813121627011,3.10914252377147,2.3436048609039,3.08623274585152,4.11734924857883,3.44623407984691,4.34898996340098,3.22826841461177,2.63329122407399,3.27986198616353,3.57770575279531,3.50133583063516,3.79724776469003,3.77131546540985,3.66934655067015,4.11929816805399,3.57173720284682,4.06666397899596,3.02390499358986,3.22093935945608,3.20216951956628,2.94804538240281,2.98657485246625,3.23999929061408
evm.TU.Ap1.1019,3.24460470002248,2.70053198415943,2.41621145267867,3.55325644614634,3.19248662010038,3.25352608747471,3.99582569198235,4.23768524042502,2.85375243517627,2.69796398195863,2.7186880033869,3.47218128531393,3.20349274816622,3.2996598062064,3.12945839780588,1.94049022858469,3.77007969293138,4.15530246100237,3.13509651852347,3.71009605783499,3.90431412154743,0.958708702142576,2.23079564897333,2.89484192409419,2.42666596705996,3.23143138871018,3.97089386492051,3.12980827574762,3.72079277847868,4.06385969815586,4.24610734176199,3.55191907407777,4.07918121032296,3.17091550310544,4.4008654494449,3.14573793873631,3.6530428798469,4.07219933177804,3.43757540086269,4.47690481037356,3.70390055265181,3.17580238423473,3.30994918013885,0.958708702142576,3.53630838729042,2.3649962302689,3.47317991274893,3.64268546547721,2.79821438922005,2.37214317567738,3.08824849154713,2.279034806532,1.92178786806103,3.51244677775081,3.10914252377147,3.10468654275029,4.41865715967686,3.66837639619454,3.7070603302931,3.7146952194849,2.28662795824831,2.63329122407399,3.74094005704519,2.92083365729524,3.50133583063516,3.65398172125259,3.60720018416506,4.06243233836078,3.41437754131539,3.80931088004998,4.06666397899596,3.7025332678479,3.22093935945608,4.57117616766855,3.92184265032592,2.57600333318219,3.9602979132271
evm.TU.Ap1.1023,3.42254245913478,2.22545850993667,3.05091176488988,3.32916983610455,2.87578891478797,2.76239371985499,3.19423366902996,2.33173357990558,2.85375243517627,3.13133946640152,3.20131728458218,4.23172846315539,3.60634305560682,0.958708702142576,4.11151722160083,2.32272935730814,3.2493696305792,4.00242034328679,3.01469178285141,2.21957694720669,3.70556250474222,0.958708702142576,3.31524967282526,4.21446319889269,2.63238774873758,3.23143138871018,1.84230993454804,2.87698398157545,2.58385140462407,3.43220282696531,2.4242097507231,2.71768974900555,2.72832907177462,2.6933091334836,2.24814471159532,2.71015486694727,2.36525606593327,3.59562343125159,3.43757540086269,0.958708702142576,2.1278143091996,2.48504943264012,2.61334040581079,2.25878904455217,2.97716409402727,3.39503827164542,2.65810130177953,3.1376724570559,3.15044477646812,2.37214317567738,3.08824849154713,3.32969562752694,3.42290610854319,3.81693346399841,3.50112305553726,2.85404481048316,2.52508791259036,3.66837639619454,2.3987522517948,3.57390645763973,2.90784612120025,3.62758345963511,2.28990403029802,3.17776606910126,2.63016455407293,2.5381698978828,3.69169837310089,0.958708702142576,2.58481882378077,4.07363041525541,1.85258538049489,2.21538578729138,2.51898522597683,2.61700456090055,3.20748509729103,2.98657485246625,2.64718717863798
evm.TU.Ap1.1025,3.42254245913478,3.96572191006883,3.31954126346873,1.87863638427725,2.60929415307793,3.10964481105385,3.19423366902996,0.958708702142576,2.34337847453583,4.44330115649784,3.0597494176455,2.32849108088466,2.61805871452659,0.958708702142576,4.04606906018483,1.94049022858469,3.0801097703437,0.958708702142576,3.44171138977291,2.6928413136754,3.19269643727991,0.958708702142576,3.04696446254581,2.57501904048278,2.80752060440752,2.1795211034691,0.958708702142576,0.958708702142576,2.75497953652442,2.95499320263849,2.62964999802485,3.0586083164923,0.958708702142576,0.958708702142576,3.34338155437066,2.71015486694727,0.958708702142576,0.958708702142576,3.30586366071781,0.958708702142576,0.958708702142576,3.03538380769815,1.81930291829947,3.36058481943784,2.97716409402727,3.07610322949957,0.958708702142576,0.958708702142576,3.5472498787324,2.37214317567738,3.08824849154713,2.8668786976688,2.57249584691148,3.88362104136326,0.958708702142576,2.70707353397273,0.958708702142576,4.11734924857883,3.58285308396012,2.48396416285187,0.958708702142576,0.958708702142576,0.958708702142576,2.92083365729524,4.18983063666036,3.65398172125259,3.69169837310089,2.54863870159655,2.24318355362218,0.958708702142576,0.958708702142576,3.29016567278373,1.88793729128368,0.958708702142576,2.94804538240281,0.958708702142576,0.958708702142576
evm.TU.Ap1.1033,0.958708702142576,2.4878795579595,0.958708702142576,2.90076708388961,4.24729104055341,3.80543036816196,0.958708702142576,4.46315052151924,0.958708702142576,0.958708702142576,0.958708702142576,1.94477841507004,4.57290059609212,0.958708702142576,1.84479796128983,0.958708702142576,5.35458033363726,0.958708702142576,0.958708702142576,0.958708702142576,4.67076804098126,0.958708702142576,5.17045091903955,0.958708702142576,1.82997097039425,3.95017544639569,4.75829396574407,2.11817559499499,4.79238595096177,0.958708702142576,0.958708702142576,0.958708702142576,3.87401335599144,0.958708702142576,4.21820709105616,0.958708702142576,0.958708702142576,0.958708702142576,1.92860981470685,0.958708702142576,0.958708702142576,3.62408658357428,4.87788865172909,0.958708702142576,0.958708702142576,0.958708702142576,0.958708702142576,0.958708702142576,0.958708702142576,0.958708702142576,2.7436381689239,0.958708702142576,1.92178786806103,1.78466851826352,2.85811212292435,0.958708702142576,0.958708702142576,0.958708702142576,1.99720789685258,0.958708702142576,2.28662795824831,0.958708702142576,0.958708702142576,0.958708702142576,0.958708702142576,4.94332669370077,0.958708702142576,2.86441247963499,3.25136221073597,0.958708702142576,2.85100862221724,4.68508303504169,0.958708702142576,0.958708702142576,2.16498554203421,0.958708702142576,0.958708702142576
evm.TU.Ap1.1034,4.07380588423156,4.17413761267381,3.9035642955958,4.20121177149157,3.95854537400356,4.39101552988046,4.43928582167524,3.55930673765161,3.36206424425806,3.93683996152383,3.32914734701995,3.80733290095939,4.38618022479999,3.63977967385327,2.65878602165622,4.65825294792343,4.30364215579167,4.78749747608161,3.76550160662188,3.03018291484088,4.23297465007199,0.958708702142576,2.70750680332698,2.89484192409419,2.80752060440752,3.23143138871018,4.98170089189221,4.02114954902227,4.17424689521418,4.67301960621739,4.24610734176199,3.99043810398175,2.96659820524473,3.17091550310544,2.51453460193981,2.71015486694727,3.3954337103433,2.4661314709728,3.86513612437638,5.17976660162072,4.21006423482527,4.86837858194362,4.6906087151889,5.29424839351051,4.70470634447158,4.22242810844635,3.12863496708015,2.56576194982508,4.17995747098483,2.74165434190536,2.7436381689239,3.81630188374035,2.79445585573613,3.59512288071262,4.05380912016288,4.10408002296552,4.58080290857141,4.60056475879363,3.9263048344356,2.78961471368695,3.12998715467084,3.84327753716904,3.63943455602476,3.74075921002813,3.05102483549601,3.49403157764193,3.08114085361426,3.66934655067015,3.97371048101962,5.00899183073862,5.40301098854216,3.02390499358986,2.9184444913551,3.60487108695973,2.62123992754045,2.98657485246625,3.45868734197485
evm.TU.Ap1.1045,4.1248730814804,3.0389850344533,3.67397240047138,4.59486590319676,3.59409658168272,2.94786650021061,3.0278745247058,4.50424140627019,4.33072097932415,2.40504379973453,3.55323262608297,3.99277332727939,5.45761705887615,3.2996598062064,3.36877789505553,3.79746743104777,3.2493696305792,4.41884508053147,4.75799697824597,4.16264670805996,3.19269643727991,3.88323930943143,2.23079564897333,2.12990294369752,2.63238774873758,2.1795211034691,2.98608412144014,4.43239750087251,3.72079277847868,4.29724502647566,3.53214185386405,3.91311913085232,3.75887634106996,3.87845458757572,2.24814471159532,3.47153431038498,3.86989102540592,2.20696947207413,2.99520573251352,3.68581565157898,3.54214926688666,4.03408641112974,4.4749642822926,2.74402794163883,4.9338191539702,3.39503827164542,3.25364962862663,1.91751763510014,4.90428922054179,4.49629783862097,3.86742670864097,3.39318731684605,2.29757396607872,4.22821741144125,4.53271905461228,4.15778976596571,4.41865715967686,2.99559840181704,2.69063976791582,2.06114349515096,4.73911543177474,3.84327753716904,2.56351242024319,2.92083365729524,3.36742938847582,2.10202076196593,2.94509398467851,3.11604350495524,3.86749620273224,3.28393625137205,3.76804290209646,2.68735819987542,1.88793729128368,0.958708702142576,2.94804538240281,2.30056950361461,2.18473401721907
evm.TU.Ap1.1047,2.92249896313252,3.52931372670052,2.23343771689264,0.958708702142576,3.59409658168272,2.76239371985499,2.6106848576028,3.70985642108066,2.85375243517627,2.69796398195863,2.90074755319242,1.94477841507004,0.958708702142576,0.958708702142576,0.958708702142576,9.63685806418602,3.87435269682094,1.91410484243985,1.79162897498525,0.958708702142576,1.94528315254943,3.88323930943143,3.31524967282526,0.958708702142576,2.80752060440752,0.958708702142576,2.65436236286403,0.958708702142576,5.53135570483565,0.958708702142576,1.8284360594131,0.958708702142576,0.958708702142576,0.958708702142576,1.88513029362515,2.71015486694727,1.97218086989502,1.85468486050386,2.306754708341,3.68581565157898,2.1278143091996,2.22305143560383,2.78691102163095,6.8904774737892,4.01443059057299,2.3649962302689,0.958708702142576,0.958708702142576,1.92394003992684,0.958708702142576,1.89279249084053,1.90802477554278,0.958708702142576,2.1118665611511,0.958708702142576,2.10314661618434,3.08623274585152,0.958708702142576,4.11573540450908,0.958708702142576,0.958708702142576,2.63329122407399,2.78449934208476,4.13923608779015,2.34688929168425,0.958708702142576,0.958708702142576,2.10993427793198,2.01847411499438,3.57173720284682,4.13232986668456,4.49591952036997,0.958708702142576,0.958708702142576,0.958708702142576,3.6574682122595,2.18473401721907
