wavelength,ApoSymb_1,ApoSymb_2,ApoSymb_3,ApoSymb_4,ApoSymb_5
866.158,108.4727723,106.6692549,107.5218344,109.2458964,108.3688843
866.324,107.7527965,106.2886143,107.2186288,108.8188207,108.0658216
866.49,107.388847,105.9461485,107.0647982,108.3356435,107.9590913
866.657,107.170115,105.6714964,106.6050391,108.2566821,107.7288986
866.823,107.3972379,106.1080955,106.7534119,108.3114218,108.0311634
866.989,107.5941174,106.2495024,106.9377994,108.4891099,108.2071038
867.156,107.9142345,106.0488373,107.0624697,108.5796048,108.5501375
867.322,107.9743694,106.2397666,107.3116158,108.6655814,108.8375382
867.488,107.8350043,106.2940659,107.2656153,108.4160485,108.8648318
867.655,108.3703471,106.9123449,107.8950281,109.0261231,109.7083042
867.821,108.2683264,107.1698684,107.7603666,109.2561802,109.3831678
867.987,107.8042121,106.9593991,107.2970378,108.8210105,109.1449557
868.153,107.9623774,107.1977328,107.540115,109.002597,109.0545403
868.319,108.3468068,107.6966402,107.6449391,109.3761793,109.0967442
868.485,108.2822188,107.5537413,107.856023,109.2764839,109.1054038
868.652,108.7976304,107.8829719,108.4035267,110.063196,109.5212504
868.818,109.2143908,108.0605008,108.5596499,110.2114836,109.6586106
868.984,109.0373428,108.4173936,108.4043654,110.1601772,109.4815754
869.15,108.5493601,107.7171012,107.9770859,109.9373722,108.7911605
869.316,108.2853433,107.1555695,107.5941902,109.3171411,108.2965575
869.482,108.1993452,107.2812127,107.5375667,109.2301719,108.1680397
869.648,108.102207,107.0424088,107.7203304,108.955869,108.3534534
869.814,108.2353444,107.0725794,108.1001989,109.2495567,108.5163594
869.98,108.6319808,107.2666458,108.3696736,109.6094056,108.925282
870.146,108.007578,106.9451813,107.9222167,109.4583097,108.8815953
870.312,107.927451,107.2574256,107.9287671,109.3728793,108.7569085
870.478,107.8492398,107.1764588,107.6626379,109.2303734,108.7399441
870.644,107.3346678,107.0297549,106.9826105,108.8801415,108.5482719
870.809,107.4519661,107.1877529,107.0630897,109.1772059,108.6385719
870.975,108.0068142,107.8100864,107.5356101,109.5569075,109.1700027
871.141,108.8599358,108.4421383,108.3390432,110.7804458,110.011794
871.307,108.7610084,108.045515,107.8662113,110.4469095,109.592518
871.473,109.2035716,108.6399988,108.0880262,110.9011818,109.8254728
871.638,109.519639,108.6997736,108.0120814,110.8168778,109.6630756
871.804,109.6920272,109.1276371,108.0345737,110.8952365,109.9620285
871.97,109.7849138,108.8478393,108.0603287,110.6804892,109.7372087
872.136,110.0558189,108.9748762,108.0084486,110.8269,110.4058632
872.301,109.5476992,108.5671435,107.7519529,110.3918286,110.0616899
872.467,110.1023052,108.9205477,108.4804424,110.9038418,110.7493291
872.633,110.6128132,109.2444916,109.2398179,111.5369923,111.4308532
872.798,110.1014571,108.6816201,108.8420033,110.9484135,110.7910348
872.964,109.651115,108.5537255,108.2703896,110.5550758,110.4807342
