genes,signedlogP
Asn_3307,0.0317719981928539
Asn_3412,-0.10490971907929
Asn_3748,NA
Asn_3795,0.0685187323297723
Asn_4198,NA
Asn_4203,NA
Asn_4208,NA
Asn_4520,NA
Asn_4521,NA
Asn_4560,NA
Asn_4579,NA
Asn_4582,NA
Asn_4590,NA
Asn_891,NA
Asn_903,NA
Asn_926,NA
Asn_929,NA
Asn_935,NA
Asp_1019,NA
Asp_1022,-0.0360689399880182
Asp_1190,NA
Asp_1303,-0.0482845634992507
Asp_1308,NA
Asp_1361,NA
Asp_1362,NA
Asp_1363,NA
Asp_1364,NA
Asp_1365,NA
Asp_1435,NA
Asp_1436,NA
Asp_1437,NA
Asp_1495,NA
Asp_1530,NA
Asp_159,NA
Asp_1697,NA
Asp_1850,NA
Asp_1888,NA
Asp_2110,NA
Asp_2297,NA
Asp_2308,NA
Asp_2310,NA
Asp_2432,NA
Asp_2561,-0.0376891045421791
Asp_2768,NA
Asp_309,NA
Asp_3324,0.0317719981928539
Asp_3687,NA
Asp_3797,NA
Asp_3874,-0.0377759178273696
Asp_3893,NA
Asp_3894,NA
Asp_4296,NA
Asp_4380,-0.0413378432105783
Asp_4471,NA
Asp_537,0.0317719981928539
Asp_640,NA
Asp_641,NA
Asp_642,NA
Asp_932,NA
Cys_1109,NA
Cys_124,NA
Cys_2326,NA
Cys_2343,NA
Cys_2347,NA
Cys_2363,NA
Cys_425,-0.0360693619051701
Cys_761,NA
Cys_781,NA
evm.TU.Ap1.1,0.616351326818018
evm.TU.Ap1.10,-0.170456327705266
evm.TU.Ap1.100,NA
evm.TU.Ap1.1000,-0.572473417893586
evm.TU.Ap1.1001,-0.965384024932235
evm.TU.Ap1.1002,-0.0360703112179326
evm.TU.Ap1.1003,-0.0360689399880182
evm.TU.Ap1.1004,NA
evm.TU.Ap1.1005,NA
evm.TU.Ap1.1006,-3.54241333485405
evm.TU.Ap1.1007,-0.17770351340755
evm.TU.Ap1.1008,NA
evm.TU.Ap1.1009,0.0844064031636677
evm.TU.Ap1.101,-0.0699557175102409
evm.TU.Ap1.1010,-0.299513310313703
evm.TU.Ap1.1011,-0.000928242725318908
evm.TU.Ap1.1012,-0.069955717510241
evm.TU.Ap1.1013,NA
evm.TU.Ap1.1014,5.1210799658541
evm.TU.Ap1.1015,0.522894565102413
